Number;Name;Provider;Tag;Channel File Name;Service File Name;Service Type;picon
64;Heimatkanal;SKY;SDTV;02c1a7ee0e7f0847c5118b3071a96689;ad5086d52f70e7bd9f0433b09ccd7cba;22;picon://1_0_16_16_2_85_C00000_0_0_0.png
65;Motorvision TV;SKY;SDTV;4bb17df19a9ccd68d11ed272e4b8cbbf;eeb37e7ebcdf500045f3137031c76829;22;picon://1_0_16_A8_2_85_C00000_0_0_0.png
66;Sky 3D;SKY;HDTV;beecb0e4e803a25db78683c2189a4b0a;6c61f4dc1624724a5c8c55c10af5ce0d;25;picon://1_0_19_75_A_85_C00000_0_0_0.png
101;SPORT1;BetaDigital;SDTV;4f878614030deb66f8f5740ae522e2a0;bab50577a2226cd2f6dd1cf7fa170155;1;picon://1_0_1_384_21_85_C00000_0_0_0.png
102;Eurosport 1 HD;SKY;HDTV;28beb2695d2d92c152b271c3e9b1c35e;641a83be7b92e4e4b37aa5c536200c23;25;picon://1_0_19_84_B_85_C00000_0_0_0.png
151;Eurosport 2 HD;SKY;HDTV;33af7b1b45460313112ac73a3ad7e1c0;d614b9effaddd3e0fd8e7cfe027dfc3f;25;picon://1_0_19_6D_9_85_C00000_0_0_0.png
152;Sky Sport News HD;SKY;HDTV;438913a9ebf733b60b399811caadb944;648b7d5ca4fc4269fcdf349baca377a8;25;picon://1_0_19_6C_C_85_C00000_0_0_0.png
153;Sky Sport HD 1;SKY;HDTV;f8a4fdf09edd271fb66d6ec2b0adaa2c;db24e82dd91c15de6a4cc16d7ca7264e;25;picon://1_0_19_81_6_85_C00000_0_0_0.png
154;Sky Sport HD 2;SKY;HDTV;6dbefc3e3ae39fd9e1f9608abd08f532;36eecbf76b3c307decef94bc7499cc7f;25;picon://1_0_19_72_D_85_C00000_0_0_0.png
155;Sky Sport HD 3;SKY;HDTV;01f14593397e4ce5e942243a65dd2211;f91cd745750335b02af50d20628c8a2a;25;picon://1_0_19_10C_6_85_C00000_0_0_0.png
156;Sky Sport HD 4;SKY;HDTV;022d0395e88f8cc915c5d1a2dd814cf1;e308cd8c4479d0922ea6338cca797caa;25;picon://1_0_19_116_D_85_C00000_0_0_0.png
157;Sky Sport HD 5;SKY;HDTV;d8ee90c71d01ed2b9ab934e459fd1881;e4c4c01efd864751bfaa5be0fd12d3b7;25;picon://1_0_19_120_C_85_C00000_0_0_0.png
158;Sky Sport HD 6;SKY;HDTV;93d89283b9b2b695f306ab0437332efe;8cf7de9639774a9139ec240f7fd45cd7;25;picon://1_0_19_12A_B_85_C00000_0_0_0.png
159;Sky Sport HD 7;SKY;HDTV;d29e5275a350f5fed5d436bd2421ce59;04a277fba1fdbd7dd6a4ea60ceed65bc;25;picon://1_0_19_134_A_85_C00000_0_0_0.png
162;Sky Sport HD 10;SKY;HDTV;d8df8ac32826ed3ff6e970e6df489a5a;d187e8baa4d89e9c0d7b2d739cefdc9b;25;picon://1_0_19_152_A_85_C00000_0_0_0.png
164;Sky Bundesliga HD 1;SKY;HDTV;d0a09006fb89ad22ae6b936ba0054998;18d336ac5346be6d2d014ef56434c12a;25;picon://1_0_19_69_C_85_C00000_0_0_0.png
174;Sky Sport Austria HD;SKY;HDTV;efe047e8c6273f73addcf8e1fa537db3;148fcc1463c9f7990ed05843f91d964c;25;picon://1_0_19_8F_9_85_C00000_0_0_0.png
175;Sky HD FanZone;SKY;HDTV;f4c480e6eaac76365ca8d4f7c3cbf0e2;0a05736d1899bf36b812fba276ac7318;25;picon://1_0_19_66_A_85_C00000_0_0_0.png
176;Sport1 US HD;SKY;HDTV;a4e705d1c017c7c887fcce96ba0d56a1;a7a08c2372e8f61e93d8e3f47a9a10da;25;picon://1_0_19_77_A_85_C00000_0_0_0.png
177;Sport1+ HD;SKY;HDTV;d6833a8c05909a38577a9f61de88b92e;9ef2de05e48151d9271cc320c3093240;25;picon://1_0_19_7A_B_85_C00000_0_0_0.png
201;hr-fernsehen HD;ARD;HDTV;8c7785e0a01e247bba868a16405e0c74;3507b02a63c9e2008b8def1c3985132d;25;picon://1_0_19_2873_425_1_C00000_0_0_0.png
202;SWR BW HD;ARD;HDTV;d03ccb558fee3499e4e77858320a796d;0f9da23c49bc7f2fc32eff26de90b8dc;25;picon://1_0_19_283F_3FB_1_C00000_0_0_0.png
203;WDR HD Dortmund;ARD;HDTV;39097dedd6dcaf929bcec9269d4d7505;898eb06b4db0e5dfb2951429f588203c;25;picon://1_0_19_6EA7_4B1_1_C00000_0_0_0.png
204;NDR FS HH HD;ARD;HDTV;8ab1716b354456456a1bad0a04a72289;c121b3ec31bb3b3ec1231c9bd145e02f;25;picon://1_0_19_2859_401_1_C00000_0_0_0.png
205;rbb Berlin HD;ARD;HDTV;e4ea20251f60730ca93fa14de3216d44;200883601c898007c76b4b7535d2807e;25;picon://1_0_19_286F_425_1_C00000_0_0_0.png
206;MDR Sachsen HD;ARD;HDTV;e006049e26bd8ac63146981d0618e7d6;e53c5af09a26f26d31fc6aeaf572b666;25;picon://1_0_19_2870_425_1_C00000_0_0_0.png
207;tagesschau24 HD;ARD;HDTV;af236854f7ba9a7d641e8fe08fd013bd;8d9ea23f4723aadb6ac1ccd2aa909a4a;25;**ERROR** Icon not Found.
208;EinsPlus HD;ARD;HDTV;9537fdfb522f6e0e386857c0f750bc88;9b1ec88800ad41f5f4fc250c48621a47;25;picon://1_0_19_2889_40F_1_C00000_0_0_0.png
209;Einsfestival HD;ARD;HDTV;fbcb51ef55b58ed778d269bc851cad2d;dc204645936d07238e83548662297d49;25;picon://1_0_19_2888_40F_1_C00000_0_0_0.png
210;arte HD;ARD;HDTV;b4b5c10f432e835af241c4cd8630ec26;0de7417a6a46dcbd31b1dbc185b93587;25;**ERROR** Icon not Found.
211;ARD-alpha;ARD;SDTV;f2944ee947d2be288c37097031a72f4c;23474f427693a83a707a4abf46099f09;1;picon://1_0_1_6F47_445_1_C00000_0_0_0.png
212;PHOENIX HD;ARD;HDTV;b9a2ef4221b6bda3a18dba739da9f01e;f57ae3f4068f217bd3e9a3d9cea57eae;25;picon://1_0_19_285B_401_1_C00000_0_0_0.png
213;3sat HD;ZDFvision;HDTV;3b5d270cee136170b9c62c7cd4b5393e;d5ba41971d545e13a052e5d6f70e9b7b;25;picon://1_0_19_2B8E_3F2_1_C00000_0_0_0.png
214;zdf_neo HD;ZDFvision;HDTV;410bd5c0722b378706cffb6e0e39e5e9;926672e20260e1e89eb9ec5df79d2d01;25;picon://1_0_19_2B7A_3F3_1_C00000_0_0_0.png
215;ZDFinfo HD;ZDFvision;HDTV;85fbcd9555e1dca2bbef24eccf0acc8c;ea451538e284053d6257382eb0dadd59;25;picon://1_0_19_2BA2_3F2_1_C00000_0_0_0.png
216;zdf.kultur HD;ZDFvision;HDTV;298def780ea92333300a45d2391cb750;18f3068583d23c362a310d5acd501c54;25;picon://1_0_19_2B84_3F3_1_C00000_0_0_0.png
251;N24;ProSiebenSat.1;SDTV;e3c81c5b467a83f2b0e7a16e1eef0edf;6440d5202368796a143919b954a084cc;1;picon://1_0_1_445F_453_1_C00000_0_0_0.png
252;n-tv;CBC;SDTV;32330ee7c16bd60fec07feff3d0605c4;5dd8b5a14ad5b8191643209f8c4fe9d2;1;picon://1_0_1_2F3A_441_1_C00000_0_0_0.png
254;DW;DW;SDTV;929eb3fc1320dd9ee16ede7993ec6e99;2d0b1d8dca06539acba24f803c93a02e;1;picon://1_0_1_114E_404_1_C00000_0_0_0.png
255;CNBC Europe;CNBC;SDTV;2d2921249925c46723acc4be7293e2de;3f546dd160ecfb47f99860d932eef1f9;22;picon://1_0_16_272E_402_1_C00000_0_0_0.png
256;BBC World;BBC;SDTV;50277f559681490f371aad4c17759782;523c3bd0652bfb7b94bbc7a324155fc9;1;picon://1_0_1_2742_402_1_C00000_0_0_0.png
257;CNN Int.;SES;SDTV;9693e792c3ee6b6dbb3cae188b2bff45;a5c98b2f7b7debe1c3475cf92620b177;1;picon://1_0_1_1146_404_1_C00000_0_0_0.png
301;KiKA HD;ZDFvision;HDTV;66661c3ba78f109e9b4c9ae125479bd3;e88c044e8abc0ad77a4ab1976042ed82;25;picon://1_0_19_2B98_3F2_1_C00000_0_0_0.png
302;SUPER RTL;CBC;SDTV;621d75c2118992362031b240ea2ca257;72b698548673f5ce4a0ee8f9bbe727de;1;picon://1_0_1_2F08_441_1_C00000_0_0_0.png
303;Nickelodeon;MTV Networks Europe;SDTV;c312d0a5509194f20e740072a85c1527;7f27a67ac101c9aad64cc1d042b59e1d;1;picon://1_0_1_7008_436_1_C00000_0_0_0.png
304;Disney Channel HD;BetaDigital;HDTV;fd6a4e850a79e51c303f646d081b30ec;0a7c9d48ae78deea85db62cb25933359;25;picon://1_0_19_157C_41F_1_C00000_0_0_0.png
305;RiC;-;SDTV;9432f3fc881fdc2f08fa95d06a3dcc2a;296fe78d633d0f79a652f2ccda2d0717;1;picon://1_0_1_32DB_45D_1_C00000_0_0_0.png
351;Disney Junior HD;SKY;HDTV;9d3efcf1ebe53147411e7f1143aeec59;ff23d5dac3545d49930595c3eee87958;25;picon://1_0_19_8A_8_85_C00000_0_0_0.png
352;Junior;SKY;SDTV;ede9c93629c7c4d52435deb8441c2481;09a438b247593dd1e13b25e0e027498c;22;picon://1_0_16_13_3_85_C00000_0_0_0.png
353;Disney XD;SKY;SDTV;628cdcec1fcaa712be4d7130ee5866af;98ddf62a502b95a745c6e217d27abc64;22;picon://1_0_16_1C_3_85_C00000_0_0_0.png
401;intv;BetaDigital;SDTV;d2a820cf0d8c5ddd974b131541fdd6e2;b515eb524b60bf7e9592856b2d0a6d4c;1;picon://1_0_1_11FA_3FD_1_C00000_0_0_0.png
402;münchen.tv;BetaDigital;SDTV;712fe05568b240fd55170e462d590ff5;6570ad577a53015fb10c399606c735d1;1;**ERROR** Icon not Found.
403;a.tv;BetaDigital;SDTV;2c20e297a3f712447684fcff4ce31589;f057cdfbc16bed3aa6567d2caeb056ea;1;**ERROR** Icon not Found.
404;Franken Fernsehen;BetaDigital;SDTV;95352d89c11bb5429b88c8c692479d6b;a08695bac87be430194f29a6c7185076;1;picon://1_0_1_11F9_3FD_1_C00000_0_0_0.png
405;Mainfranken;BetaDigital;SDTV;af8426be35a452b6b895fbebaae42e04;551577caabaf14afa0f6a30e42dcf76e;1;picon://1_0_1_11FE_3FD_1_C00000_0_0_0.png
406;Niederbayern;BetaDigital;SDTV;a23639ec5ece3fa6a488018817a660da;d79972d83072ecc7b28b312486dd948c;1;picon://1_0_1_1201_3FD_1_C00000_0_0_0.png
407;rfo Regional Oberbayern;BetaDigital;SDTV;271a8a133f9eac8dc8648cf6b55f9d86;7a13d4bcdabec4bed4b7907f7cb7645f;1;picon://1_0_1_11FD_3FD_1_C00000_0_0_0.png
408;TVA-OTV;BetaDigital;SDTV;288ab497fc791891c42f40f2808c3365;134a5138596584f2fc281548438aed7e;1;**ERROR** Icon not Found.
409;Ulm-Allgäu;BetaDigital;SDTV;acc2ca151fb864c0e395eb6d55878d01;30f1d148b6d5546e9a9a492a1841b217;1;picon://1_0_1_11FB_3FD_1_C00000_0_0_0.png
410;BB-MV Lokal-TV;BetaDigital;SDTV;209c09004ed820961f38918be03bcd3d;e966c9cca0ddb9a6108dcd2c29cadc2e;1;picon://1_0_1_46_7_85_C00000_0_0_0.png
411;BTV;-;SDTV;979bd9e977db85d8505e5c19fcec9c4c;dfc2fec7e53bdb7fb928dc539a6a646a;1;picon://1_0_1_3355_45B_1_C00000_0_0_0.png
412;L-TV/TVM;-;SDTV;2b1ac91223bd0e53fb167c91dc664496;425790c5d0eadc429c20a8fb995a3c3b;1;picon://1_0_1_3339_45B_1_C00000_0_0_0.png
413;TV Oberfranken;BetaDigital;SDTV;094ef8fe7a5f11573a047e79c861bd4c;6d66bd440fe79d5102017d185748b09e;1;**ERROR** Icon not Found.
414;rhein main tv;MEDIA BROADCAST;SDTV;c5e78c7399bd5366cf247997cb57805e;3c1fd279b73987564970c6c6b1f718ab;1;**ERROR** Icon not Found.
501;Comedy Central/VIVA;MTV Networks Europe;SDTV;5d2dd548d88ac9530b4770442d2c169f;8edcb3921ee882db792a2762e130aff8;1;picon://1_0_1_7004_436_1_C00000_0_0_0.png
502;DELUXE MUSIC;BetaDigital;SDTV;9486cf1ea9b576a56a69776aabc3f4c1;67c43bdc87f04c799bdefd2020c6f399;1;picon://1_0_1_41_7_85_C00000_0_0_0.png
503;nice;MEDIA BROADCAST;SDTV;8c4994bd76ae160f8e732e804db6594e;7fdd0a054cce10a1ebf916895329c7b2;1;**ERROR** Icon not Found.
504;Deutsches Musik Fernsehen;MEDIA BROADCAST;SDTV;e1055cab0b7489379d2d79f3d1dcd33e;02958a06a0b32baf25742fea8f7bcc0d;1;picon://1_0_1_313C_459_1_C00000_0_0_0.png
505;Volksmusik;-;SDTV;459bdd4b6b1a1cf3c1716b69d561fafe;5cf1a6f0efa6e8ffed423bce4d09573e;1;**ERROR** Icon not Found.
506;Mei Musi TV;-;SDTV;8088c9aa43b3240ce02da8cbf6c3cba3;5e4de5d976da92a35099bdaefd645f92;1;picon://1_0_1_32D7_45D_1_C00000_0_0_0.png
507;gotv;GoTV;SDTV;217a018c6372b10d498f0b5924e981d3;ff3da170926489dcbbea96857f10b138;1;**ERROR** Icon not Found.
508;HITRADIO OE3;ORF;SDTV;ca9491d380a5f5e27a417526ba38d9d2;7ba1b4173a74a7a94df038b64d478712;1;picon://1_0_1_32D5_45D_1_C00000_0_0_0.png
551;Goldstar TV;SKY;SDTV;919781d6eaaaee86efab4ca36995c09d;9874c5cd5b79f18c96e483ecc9150bc5;22;picon://1_0_16_206_2_85_C00000_0_0_0.png
552;Classica;SKY;SDTV;2bd469eed41e04b7bf93613985bdd64d;a2206c3685e4c063e696c98b14bc5747;22;picon://1_0_16_18_3_85_C00000_0_0_0.png
553;Jukebox;SKY;SDTV;d491249a9efc1d634b157dd866a12661;7fbe918f6f21faeb77f48a28124e0c9d;22;picon://1_0_16_191_4_85_C00000_0_0_0.png
601;Beate-Uhse.TV;SKY;SDTV;906bbb68d432b1d3ae06c117ba620299;56edfe859893c7cc969e1973617bcc1d;22;picon://1_0_16_15_3_85_C00000_0_0_0.png
611;Blue Movie;SKY;SDTV;40a36ff94a19ba2e724a173a0af19462;c5acd959481b0f0ce6f967c0d1850d1c;22;picon://1_0_16_201_4_85_C00000_0_0_0.png
1001;Das Erste;ARD;SDTV;e776dab1e4024efc45008fc21bd243b5;56b3cfe36a78130d1ce41dd18ecb8114;1;picon://1_0_1_6DCA_44D_1_C00000_0_0_0.png
1002;ZDF;ZDFvision;SDTV;de88a67f639c7b99e6222b03d5f4be59;6dd5217b53ae0be11431ed2e7ace6079;1;picon://1_0_1_6D66_437_1_C00000_0_0_0.png
1003;Bayerisches FS Süd;ARD;SDTV;7921764b655ba035a53a0aaba7fc5afa;2e00a07b36adc2ea8e2f7214224283cc;1;picon://1_0_1_6DCB_44D_1_C00000_0_0_0.png
